MELARA,We shouldn’t be out here alone
MELARA,But if he finds out… Cersei takes her hands
CERSEI,You don’t need to be afraid of my father
MELARA,We shouldn’t go in
CERSEI,Of course we should
They hear a shriek then… MAGGY,Get out
MAGGY,Listen to your friend
CERSEI,They said that you were terrifying
MAGGY,You don’t know what I am
CERSEI,I know you’re a witch and you can see the future
MAGGY,Everybody wants to know their future
CERSEI,This is my father’s land
MAGGY,Your blood
MAGGY,Three questions you get
CERSEI,I’ve been promised to the prince
When will we marry? MAGGY,You’ll never wed the prince
CERSEI,That doesn’t make sense
MAGGY,Gold will be their crowns
MELARA,"Come on, we have to go"
We have to go! Cersei! CUT TO,CERSEI’S FACE - KING’S LANDING - MODERN DAY Cersei gets out of a cart to a funeral procession outside of the Great Sept of Baelor
PRIEST,"Your grace, we are honored by your presence"
CERSEI,They will keep waiting
PRIEST,"But your grace, many of these lords and ladies have travelled day and night to be here… Cersei starts walking away"
CERSEI,"He never wanted you to be a King’s Guard, but here you are, protecting his dead body"
JAIME,What he built
CERSEI,They had nothing to do with it
"I’ve been telling you for years, you’ve been defending him for years… JAIME",This is exactly what they want
CERSEI,
CERSEI,Tyrion may be a monster but at least he killed our father on purpose
VARYS,Apologies
TYRION,I still don’t see why I had to stay in this fucking crate once we set sail
VARYS,I saved your life
TYRION,Pentos? Varys nods
VARYS,The home of my colleague
TYRION,Much better
VARYS,You already drank yourself across the Narrow Sea
TYRION,In a box
Why stop now? VARYS,Because we are talking about the future of our country
TYRION,The future is shit
CUT TO,MEEREEN The giant bronze Harpy statue is pulled down from the top of the pyramid
PROSTITUTE,Habit
DAENERYS,They’ve never killed before
BARRISTAN,"It was only a matter of time, your grace"
DAENERYS,I didn’t conquer them
MOSSADOR,"They do not see us as people, Your Grace"
DAENERYS,"Then they will have to learn to see things differently, Mossador"
What was the name of the man you lost? GREY WORM,"White Rat, your grace"
DAENERYS,I want him buried with honor
BARRISTAN,The Sons of the Harpy will hear that message
MOSSADOR,Make them very angry
DAENERYS,Angry snakes lash out
MISSANDEI,Torgo Nudho
GREY WORM,Missandei hin Naath
MISSANDEI,I wanted to speak with you
May I ask you why? Why would an Unsullied go to a brothel? GREY WORM,I do not know
CUT TO,CASTLE BLACK Jon Snow is parrying with Olly
JON,Get your shield up
OLLY,It’s too heavy
JON,"If it wasn’t heavy it wouldn’t stop a sword, now get it up"
JON,Come
ALLISER,These men need a firm hand
ALLISER,Not soldiers
GILLY,That one hates me
SAM,If Ser Alliser is chosen as the new Lord Commander… he hates the wildlings
SAM,All the wildlings
GILLY,Don’t let them send us away
SAM,It’s not a sure thing
He’s running against Ser Alliser-- GILLY,Sam! Don’t let them send us away
SAM,I told you
GILLY,"You can’t leave, they’ll execute you"
JON,"Good, good, pivot! Don’t forget to pivot! Shield up! Jon turns and sees Melisandre waiting"
MELISANDRE,The king wants a word
MELISANDRE,Feel
MELISANDRE,Good
THE WALL MELISANDRE,Your grace
STANNIS,The traitor who plunged a dagger into Robb Stark’s heart
Don’t you want to avenge him? JON,"I want a great many things, your grace"
DAVOS,I’ve been talking to your sworn brothers
JON,They’re good men
DAVOS,Many don’t
Why? JON,It’s where she belonged
DAVOS,Some of the Night’s Watch feel you have too much affection for the wildlings
JON,They were born on the wrong side of the wall
STANNIS,No matter
DAVOS,It’s a fair offer
STANNIS,I’ll offer them their lives and their freedom if Mance kneels before me and swears his loyalty
JON,I don’t think that’s likely
STANNIS,He likes you
CUT TO,"THE VALE OF ARRYN Sansa, Littlefinger, and Yohn Royce are watching Robin parry"
This one… BAELISH,Lord Arryn will never be a great warrior
ROYCE,Great warrior? He sings a sword like a girl with palsy
SQUIRE,My lord
ROYCE,He’s 13
BAELISH,He has other gifts
SANSA,"Goodbye Lord Royce, and thank you for all you’ve done for me"
ROYCE,"I have done nothing more than my duty, my lady"
BAELISH,"I have no doubt that upon my return, Robin’s skills will have improved immeasurably"
ROYCE,He’ll be safe here
CUT TO,"COUNTRYSIDE Podrick sits down next to Brienne, who is sharpening her sword"
PODRICK,Will we head north at some point? He said Sansa had a brother at Castle Black
"We’re a few days ride from the Kingsroad, but that will take us-- BRIENNE",Us? The only reason you’re here is that Jaime Lannister told me you weren’t safe in the capital
PODRICK,But I’m you’re squire
PODRICK,You swore to find the Stark girls
BRIENNE,I found Arya
PODRICK,Sansa still might
BRIENNE,Will you shut your mouth? I didn’t ask for advice
CARRIAGE SANSA,You told Lord Royce we were going to the Fingers
BAELISH,I did
SANSA,But we’re heading west
BAELISH,We are
SANSA,"If he wanted to betray us, he already would have"
BAELISH,"Lord Royce may be as honorable as he thinks he is, but he’s not alone in that castle"
"Do you trust all those knights and ladies, stable boys and serving girls? SANSA",No
BAELISH,No
CUT TO,KING’S LANDING Close-up on Cersei drinking wine while Loras talks in the background
LORAS,"It was such a deep, deep shock to us all"
LORAS,But just being in his presence was enough to make it so clear just how formidable a person you were dealing with
CERSEI (sighs),Thank you so much for your kind words
GRAND MAESTER PYRCELLE,"Deepest condolences, your grace"
LANCEL LANNISTER,Your grace
CERSEI,Cousin Lancel
LANCEL,My deepest sympathies
KEVAN LANNISTER,I apologize for my son’s appearance
CERSEI,"Uncle, it’s quite alright"
KEVAN,They call themselves sparrows
CERSEI,I’m sure he’ll grow out of it
KEVAN,Of course
