MELISANDRE,"The Lord of Light has made good on his promise, my king"
STANNIS,We ride for Winterfell
MELISANDRE,And you will take it
SOLDIER,Your Grace
STANNIS,Prepare to form up
SOLDIER,Your Grace
STANNIS,Tell me
SOLDIER,The men
STANNIS,Cut her down
SOLDIER,Your Grace
STANNIS,Get the men into marching formation
CASTLE BLACK - LIBRARY JON,He raised his hands
SAM (confused),But… you killed a White Walker
JON,With Longclaw
But Longclaw… SAM,He’s made of Valyrian steel
How many Valyrian steel swords are left in the Seven Kingdoms? JON,Not enough
How’s it feel to be friends with the most hated man in Castle Black? (smiles) SAM,You were friends with me when I first got here
JON,Here’s to us then
JON,"I need you here, Sam"
"If you leave, who’s left to give me advice I trust? SAM","Well, there’s Edd"
SAM,I’ll be more use to you as a Maester
SAM,If Gilly stays here then she’ll die
SAM,Thank you
JON,"You know that The Citadel will make you swear off women, too"
SAM,They’ll bloody try
JON,You’ve just been beaten half to death
How did you-- SAM (smiling),Very carefully
JON,I’m glad the end of the world’s working out for someone
SAM,I’ll come back
JON (raises a glass),To your return
SAM,To my return
PODRICK,My lady! Stannis
OUTSIDE OF WINTERFELL STANNIS,Trench here
SOLDIER,"There’s not going to be a siege, Your Grace"
STANNIS,Bolton has women fighting for him
BRIENNE,I do not fight for the Boltons
STANNIS,I did
BRIENNE,"In the name of Renly of House Baratheon, First of his Name, Rightful King of the Andals and the First Men, Lord of the Seven Kingdoms, and Protector of the Realm, I, Brienne of Tarth, sentence you to die"
Do you have any last words? STANNIS,"Go on, do your duty"
"Brienne unsheathes her sword, pulls it back, swings forward, and-- CUT TO",EXT
RAMSAY,Looks like we’re done here
SURVIVOR,I surrender
I surrender! RAMSAY,And I accept your surrender
RAMSAY (to squire),Let’s head back
MYRANDA,My lady
THEON,Go with her
SANSA,I know what Ramsay is
MYRANDA,Die? (lowers the bow) Who said anything about dying? You can’t die yet
MYRANDA,You’re leaving it to me? Good
MYRANDA,"Stop! Stop! Theon throws her over the edge, killing her on impact"
MAN,Open the gates! Bolton men return from the battle and ride through the gates to Winterfell
THEON,He’s coming back
MERYN,I can see I have my work cut out for me
ARYA,"You were the first person on my list, you know"
ARYA,I can’t hear you
ARYA,You know who I am
ARYA,Do you know who you are? Trant whimpers
ARYA,You’re no one
JAQEN,A girl has taken a life
WAIF,I was right about her
JAQEN,You were
WAIF,You’re not ready
JAQEN,That man’s life wasn’t yours to take
JAQEN,Only death can pay for life
WAIF,No he wasn’t
),He was no one
JAQEN,The faces are for no one
JAQEN,You are still someone
JAQEN,"And to someone… Arya pulls off multiple faces, revealing the face of multiple different men"
JAQEN,
ARYA,I can’t see! Arya’s vision begins to blur until the screen goes black
ARYA,What’s happening?! What’s happening?! EXT
DORAN (to Jaime),I wish you a safe journey home
JAIME,Thank you
ELLARIA,Forgive me child
BRONN,Maybe I’ll come visit you sometime
TYENE,Maybe I’ll come visit you
BRONN,Don’t wait too long
TYENE (leans in),"You want a good girl, but you need the bad pussy"
(bites his ear) JAIME (to Bronn),"Whenever you’re ready, My Lord"
JAIME,Try not to lose it this time
MYRCELLA,I’ll never take it off again
JAIME,I know you didn’t want to leave Dorne
MYRCELLA,Do you think mother will like him
JAIME,"If she sees you’re happy, I’m sure she will"
JAIME,I’m not so sure about that
MYRCELLA,No you don’t
JAIME,What I’m trying to say
What I’m trying and failing to say… MYRCELLA,I know what you’re trying to say
JAIME,No
MYRCELLA,I do
MYRCELLA,I know
JAIME,Myrcella? The bleeding gets worse
JAIME,"Myrcella?! Myrcella collapses in Jaime’s arms, blood streaming down her face"
TYRION (to Jorah),"You love her, don’t you? How could you not"
DAARIO,Does he always talk so much? Jorah nods
GREY WORM,Jorah the Andal
JORAH,Torgo Nudho
GREY WORM,You should not be here
DAARIO,"No, but he is"
GREY WORM,Our queen ordered him exiled from city
DAARIO,Our queen would be dead if not for him
MISSANDEI (Valyrian),It’s true
TYRION (Valyrian),Dwarf
MISSANDEI,(Valyrian) A bit “rusty”
TYRION,(Valyrian) “Rusty” (Common Tongue) Thank you
GREY WORM,I am sorry
DAARIO,You missed a good scrap
JORAH,None of that matters now
TYRION,He’s right
JORAH,We? You’re a Lannister
TYRION,And I intend to help her do it
JORAH,You’ve been here for how many days now? I’ve fought for her for years
TYRION,"Don’t blame me for your crimes, Mormont"
DAARIO,(gestures to Tyrion) He’s right
TYRION,"Fine, fine, I suppose he can join us"
JORAH,If I ever kill you your eyes will be wide open
DAARIO,Which I respect
JORAH,He’s a foreign dwarf that barely speaks the language
Why would the Meereenese listen to him? DAARIO,They wouldn’t
GREY WORM,I’ll come with you
MISSANDEI,You are not strong enough to go anywhere
GREY WORM,I am
DAARIO,"He is, he’s the toughest man with no balls I’ve ever met"
MISSANDEI,It’s true
DAARIO,And Missandei
),"Hello, old friend"
VARYS,I thought we were so happy together until you abandoned me
TYRION,I suppose there’s no point in asking how you found me
VARYS,"The birds sing in the west, the birds sing in the east"
TYRION,"Well, she didn’t execute me, so that’s a promising start"
Any advice for an old comrade? VARYS,Information is the key
TYRION,If only I knew someone with a vast network of spies
VARYS,If only
TYRION,I did miss you
VARYS,"Oh, I know"
DAENERYS,We have to go home
DAENERYS,"My poor, sweet thing"
DAENERYS,How far did you carry me? (surveys the area) Drogon begins turning away from her to lick at his wounds
DAENERYS,"Drogon, we need to return"
DAENERYS,"Well, there’s no food"
SEPTA,Confess
CERSEI,I have sinned
CERSEI,The Mother have mercy then
SPARROW,Name him
CERSEI,Lancel Lannister
SPARROW,Your cousin
CERSEI,I was lonely and afraid
SPARROW,You had a husband
CERSEI,A husband of whoring every chance he got
SPARROW,His sins do not pardon your own
CERSEI,May the gods forgive me
SPARROW,Speaking falsehoods before the Gods is a great crime
You understand this? CERSEI,I do
SPARROW,There are those who say your children were not fathered by King Robert
CERSEI,A lie
SPARROW,Good
CERSEI,I bow to the wisdom of your High Holiness
SPARROW,You have taken the first step on a path back to righteousness
CERSEI,Thank you
SPARROW,The Mother is merciful
CERSEI,"I will, I will"
SPARROW,Good
CERSEI,My atonement? INT
SPARROW,A sinner comes before you
SEPTA,Shame
CROWD,Bitch! Whore! All hail her royal tits! They begin pelting her with food
WOMAN,I’ve had half as many cocks as the queen! The sparrows force her out of Cersei’s way
MAN,"Suck me off! Suck me off, you bitch! As Cersei approaches the end of her walk things get more violent"
QYBURN,Your Grace
QYBURN,May I have the honor of presenting the newest member of the Kingsguard
QYBURN,"If it please Your Grace, he’s taken a holy vow of silence"
DAVOS,He came to your aid
Now he needs you! JON,We don’t have enough men to make any difference
JON,"It’s not their fight! The gates to Castle Black are opened and Melisandre arrives, alone and on horseback"
JON,Stannis? No response
DAVOS,Shireen? The princess? A long look but no response
OLLY,Lord Commander
ALLISER,Man says he saw your uncle at Hardhome the last full moon
JON,He could be lying
ALLISER,Could be
ALLISER,For the Watch
BROTHER,For the Watch
BROTHER,For the Watch
BROTHER,For the Watch
BROTHER,For the Watch
JON,Olly… Olly stabs him
OLLY,For the Watch
