BRAAVOSI MAN,"In the old times, whenever Braavos stood in danger, the titan would step with fire in his eyes"
VARYS,No
TYRION,How many dwarves are there in the world? Is Cersei going to kill them all? INT
CERSEI,Not him
HUNTERS,"Thank you, Your Grace"
CERSEI,Take the head
QYBURN,"Pardon me, Your Grace"
CERSEI,Very good
QYBURN,Over there will be fine
MERYN (to hunters),You heard the man
MACE,"Oh, Your Grace"
CERSEI,He called your experience and wisdom in financial matters unparalleled
MACE,"The honor is all mine, Your Grace"
PYCELLE,"Your Grace, in the past on several occasions, a Grand Maester has served as the King's Hand"
CERSEI,The King has named Qyburn the new Master of Whisperers
KEVAN,That is kind of you to say
CERSEI,The king is very busy at this moment
KEVAN,"He should be here, learning what it means to rule"
CERSEI,He is learning
KEVAN,I returned to the capital to pay my respects to my brother
(looks to Qyburn) Sending your own brother away so he wouldn't be-- CERSEI,My brother has left the capital to lead a sensitive diplomatic mission
KEVAN,I do not recognize your authority to dictate what is and is not my concern
SHIREEN,Come on
GILLY,Snake
S! It's an S! SHIREEN,"Right, very good! Sam is reading in a different aisle in the library"
SAM,"Hmm! Did you know that the youngest Lord Commander in history, Osric Stark, was elected at the age of 10? Gilly and Shireen look to him and then back at their book"
GILLY,"I know \"S\""
SHIREEN,"You'll learn, I promise"
GILLY,"Well, you're a wonderful teacher"
(to Sam) Very patient! SAM,"I only said that the more time you spend practicing, the faster you'll be able to read"
GILLY,That's alright
What do you call it north of the Wall? GILLY,I don't know
How did they cure you? SHIREEN,I don't remember
What happened to your sisters? GILLY,My father made them move out of the keep into the huts outside
SHIREEN,What did he do to them in the woods? Gilly is afraid to answer
SHIREEN,Mother
SELYSE (to Sam and Gilly),Leave us
SAM (nodding),Your Grace
SELYSE,You need to stay away from that girl
SHIREEN,Her name's Gilly
SELYSE,She's a wildling
SHIREEN,Gilly wouldn't do that
SELYSE,You have no idea what people will do
CASTLE BLACK - STANNIS'S ROOM STANNIS,I ordered Mance Rayder burnt at the stake
JON,"With respect, Your Grace, the free folk will never follow you, no matter what you do"
STANNIS,"Lady of Bear Island, and a child of 10"
JON,"\"Bear Island knows no king but the King in the North, whose name is Stark"
STANNIS,I know
DAVOS,"Tonight, the Night's Watch elect a new Lord Commander"
JON,Most likely
DAVOS,Unpleasant man
What's your life going to be like on the Wall with Thorne in command? JON,"Unpleasant, I expect"
STANNIS,Your bravery made him look weak
JON,"I don't doubt it, Your Grace"
STANNIS,You can give me the North
JON,I can't
STANNIS,Kneel before me
SAM,You deserve this
JON,I'm going to refuse him
SAM (confused),But you'd be Lord of Winterfell
JON,I swore a vow to the Night's Watch
),Crowded
AEMON,Does anyone wish to speak for candidates before we cast our tokens for the 998th Lord Commander of the Night's Watch? Janos Slynt stands up
JANOS,"Ser Alliser Thorne is not just a knight, he's a man of true nobility"
MEN,"Hear, hear"
JANOS,He's a veteran of 100 battles and has been a defender of the Watch and the Wall almost all of his life
AEMON,"If there's no one else, we will begin the voting"
Each brother will-- SAM,Maester Aemon
AEMON,Samwell Tarly
),Sam the Slayer
JANOS,Another wildling lover just like his friend Jon Snow
SAM,Her name is Gilly
SAM,"Whilst Lord Janos was hiding with the women and children, Jon Snow was leading"
SAM,"Ser Alliser fought bravely, it is true"
ALLISER,I can't argue with any of that
AEMON,It is time
BROTHER,"It appears to be a tie, Maester"
BROTHERS,"Jon Snow! Jon Snow! Jon Snow! Jon Snow! Jon rises, sees Alliser glaring at him, and lets out a small smile for the first time since he entered the room"
MAN,You
MAN,What have you got there? Arya doesn't respond
Man,That's a nice little sword
(pulls out his own sword) ARYA,Nothing's worth anything to dead men
MEN,"Quickly, go, go! They flee"
"He tosses Arya her coin, then reaches to his face, pulls it off, and reveals the face of Jaqen H'ghar ARYA",You said there was no Jaqen H'ghar here
JAQEN,There isn't
ARYA,Well who are you then? He turns back around
JAQEN,No one
HARPY (Valyrian),She doesn't belong here
DAENERYS,"He was our prisoner, awaiting trial"
MOSSADOR,He would rather rip your city apart than see slaves lifted from the dirt
DAENERYS,There are no more slaves
MOSSADOR,"Then who lives in the Pyramids? Who wears gold masks and murders your children? (beat) When Grey Worm came to us, I was the first to take up the knife for you"
DAENERYS,The Harpy's life was not yours to take
CROWD,"Mhysa! Myhsa! They settle in front of the courthouse, surrounded by both former Masters and former slaves"
HIZDAHR (to Daario),She should have cut off the traitor's head in the Great Pyramid and been done with it
DAARIO,Which is what I keep telling her to do to you
"DAENERYS (Valyrian, to crowd)",You opened your gates to me because I promised you freedom and justice
CROWD (Valyrian),"Mercy! Mercy! Mossador looks to Daenerys, pleading"
MOSSADOR,Mhysa
CROWD,Mhysa
MEEREEN - GREAT PYRAMID BARRISTAN,"I'll stand guard outside your door tonight, Your Grace"
GREY WORM,We all guard tonight
DAENERYS,Leave me
DAENERYS (shocked),Drogon
