thirdAc,arrival,from_station_code,name,zone,chair_car,first_class,duration_m,sleeper,from_station_name,number,departure,return_train,to_station_code,second_ac,to_station_name,duration_h,type_of_train,first_ac,distance
0,20:55:00,TPTY,Tirupati-Yesvantpur Tri Weekly SF Intercity,SR,1,0,5,0,TIRUPATI MAIN,12544,14:50:00,12543,YPR,0,YESVANTPUR JN,6,SF,0,345
1,21:05:00,DURG,DURG - JAMMU TAWI SF Exp,SECR,0,0,5,1,DURG,12549,12:00:00,12550,JAT,1,JAMMU TAWI,33,SF,1,1873
1,14:20:00,JAT,JAMMU TAWI - DURG SF Exp,SECR,0,0,20,1,JAMMU TAWI,12550,05:00:00,12549,DURG,1,DURG,33,SF,1,1873
1,06:30:00,BJU,Vaishali SF Express,ECR,0,0,0,1,BARAUNI JN,12553,09:30:00,12554,NDLS,1,NEW DELHI,21,SF,1,1185
0,06:54:00,MSB,Chennai Beach Tambaram EMU(12 Car),SR,0,0,54,0,CHENNAI BEACH,40003,06:00:00,,TBM,0,TAMBARAM,0,MEMU,0,33
0,22:45:00,ASR,Shan-e-Punjab Express,NR,1,0,35,0,AMRITSAR JN,12498,15:10:00,12497,NDLS,0,NEW DELHI,7,SF,0,448
1,19:15:00,GHY,GUWAHATI - DELHI ANAND VIHAR North East Exp,NFR,0,0,30,1,GUWAHATI,12505,09:45:00,12506,ANVT,1,ANAND VIHAR TRM,33,SF,0,1866
1,16:40:00,ANVT,DELHI ANAND VIHAR - GUWAHATI North East Exp,NFR,0,0,50,1,ANAND VIHAR TRM,12506,06:50:00,12505,GHY,1,GUWAHATI,33,SF,0,1867
1,05:50:00,BNC,BENGALURU - GUWAHATI (Kaziranga) SF Express,NER,0,0,20,1,BANGALORE CANT,12509,23:30:00,12510,GHY,1,GUWAHATI,54,SF,0,2992
1,11:50:00,GHY,GUWAHATI - BENGALURU (Kaziranga) SF Express,NFR,0,0,20,1,GUWAHATI,12510,06:30:00,12509,SBC,1,BANGALORE CITY JN,53,SF,0,2992
1,05:50:00,TVC,RIVANDRUM - GUWAHATI Exp,NER,0,0,0,1,TRIVANDRUM CENTRAL,12515,12:50:00,12516,GHY,1,GUWAHATI,65,SF,0,3552
