MAN,That’s it
MAN #2,Steady
RAY,Up she goes
RAY,"Hey, come on"
RAY,"Here you are, son"
RAY,"Oh, gentlemen, please"
RAY,In all my days I’ve never seen a man swing an ax like that
How many men did it take to cut you down? SANDOR,Just one
RAY,Ooh
SANDOR,He was a woman
CUT TO,BROTHER RAY’S ENCAMPMENT A man standing beneath the church framing rings a bell
RAY,I think some of the men are a bit afraid of you
SANDOR,I’m used to it
RAY,"When I found you, I thought you’d been dead for days"
RAY,I was gonna give you a proper burial and then you coughed
SANDOR,Hate
RAY,"No, there’s a reason you’re still here"
SANDOR,"Aye, there’s a reason"
RAY,"No, a reason"
SANDOR,I’ve heard that before
RAY,"Well, maybe he was right"
SANDOR,You’re in the wrong line of work
RAY,"Oh, there’s plenty of pious sons of bitches who think they know the word of god or gods"
SANDOR,You didn’t know me back in my time
RAY,I’ve heard stories
SANDOR,If the gods are real
why haven’t they punished me? RAY,They have
HIGH SPARROW,Your Grace
What are we reading today? MARGAERY,"The Book of the Mother, Your Holiness"
” HIGH SPARROW,You learn quickly
MARGAERY,"For year I pretended to love the poor, the afflicted"
HIGH SPARROW,They are hard to love
HIGH SPARROW,"The poor disgust us because they are us, shorn of our illusions"
HIGH SPARROW,"The king mentioned that since your reunion, you haven’t joined him in the marriage bed"
MARGAERY,No
HIGH SPARROW,"You have a duty, Your Grace"
MARGAERY,It’s just
HIGH SPARROW,"Congress does not require desire on the woman’s part, only patience"
MARGAERY,Forgive me
HIGH SPARROW,Hard to find and harder still to walk upon
CUT TO,RED KEEP - OLENNA’S CHAMBER MARGAERY and OLENNA are sitting at a table
OLENNA,Does it move or talk? I want to speak with you alone
MARGAERY,Septa Unella has been my true friend and counselor
OLENNA,"Oh, this is madness! OLENNA takes MARGAERY’s hand and leads her out onto the balcony to a different table"
OLENNA (to SEPTA UNELLA),"You’re not in your sanctuary now, my dear"
MARGAERY,Grandmother
OLENNA,
MARGAERY,"Grandmother, please"
OLENNA,We marched for you
MARGAERY,"The gods could have punished you and Father, but they didn’t"
OLENNA,"He is the heir to Highgarden, the future of House Tyrell"
MARGAERY,He can begin again
OLENNA,As a mindless fanatic
MARGAERY,As a free man
OLENNA,You will leave for Highgarden today
MARGAERY,I am the queen
MARGAERY,"But you should leave, Grandmother"
OLENNA,I will never leave you
MARGAERY,You must
MARGAERY,Go home
MARGAERY,The Mother watches over us all
OLENNA,"I’ll see you soon, my dear"
MARGAERY,"Seven blessings to you, Grandmother"
DIM DALBA,"We said we’d fight with you, King Crow, when the time comes and we meant it, but this isn’t what we agreed to"
TORMUND,"If it weren’t for him, none of us would be here"
DIM DALBA,Remember Mance’s camp? It stretched all the way to the horizon
JON SNOW,That’s what’ll happen to you if we lose
TORMUND,The crows killed him because he spoke for the free folk when no other southerners would
WUN WUN,Snow
CERSEI,I heard you were leaving King’s Landing
OLENNA,That is hardly your concern
CERSEI,Your grandson is still a prisoner
You’ll leave him rotting in a cell? OLENNA,Loras rots in a cell because of you
CERSEI,You’re right
OLENNA,Good
CERSEI,I delivered an army of fanatics onto our doorstep
OLENNA,I wonder if you’re the worst person I’ve ever met
CERSEI,You love your granddaughter
OLENNA,I’m leaving this wretched city as fast as I can before that shoeless zealot throws me into one of his cells
CERSEI,Never
OLENNA,"What’ll you do, then? You have no support"
MAN,Pick the pace up
JAIME,Someone certainly does
BRONN,"Oh, no"
JAIME,You’re an anointed knight
BRONN,"Aye, knights don’t get paid"
JAIME,You have better instincts than any officer in the Lannister army
BRONN,That’s like saying I have a bigger cock than anyone in the Unsullied army
JAIME,I expect to command all the Lannister forces before long
BRONN,You promised me a lordship and a castle and a highborn beauty for a wife
JAIME,And you’ll get all three
A Lannister always- - BRONN,Don’t say it
CUT TO,RIVERRUN - FREY ENCAMPMENT JAIME and BRONN lead a group of Lannister soldiers through the encampment
LOTHAR,"Come out and fight us, Blackfish"
LOTHAR,This is your last warning
BLACK WALDER,"You think I won’t do it, old man? BLACK WALDER holds the knife to EDMURE’s neck"
BLACK WALDER,I sliced your niece’s throat from ear to ear
BRYNDEN,"Go on, then"
JAIME,‘Cause you didn’t set up a proper perimeter
BRONN,Good thing we’re friends or we’d be fucking you in the ass right now
JAIME,Have Lord Edmure bathed and fed
BLACK WALDER,"Whoa, whoa"
LOTHAR,Walder
BLACK WALDER,Edmure is a prisoner of House Frey
JAIME,Only a fool makes threats he’s not prepared to carry out
What do you think I’d do? BLACK WALDER,I don’t give a rat’s- - JAIME hits BLACK WALDER across the face with his gold hand
JAIME,I’m here by the king’s command to take back this castle
LOTHAR,"Apologies, Ser Jaime"
LOTHAR,Do as he says
JAIME,The siege is now under my command
BRONN,Have your lads start digging perimeter trenches
JAIME,Get word to the Blackfish
BRONN,You’ve got one hand
CUT TO,BEAR ISLAND - CASTLE AUDIENCE CHAMBER LYANNA MORMONT sits at a high table flanked by a commander and a maester
JON SNOW,Lady Mormont
LYANNA,Welcome to Bear Island
SANSA,"I remember when you were born, my lady"
LYANNA,I doubt it
JON SNOW,"I served under your uncle at Castle Black, Lady Lyanna"
In fact- - LYANNA,I think we’ve had enough small talk
What are you here? JON SNOW,Stannis Baratheon garrisoned at Castle Black before he marched on Winterfell and was killed
It said- - LYANNA,I remember what it said
” JON SNOW,"Robb is gone, but House Stark is not"
LYANNA,"As far as I understand, you’re a Snow and Lady Sansa is a Bolton"
SANSA,"I did what I had to do to survive, my lady"
LYANNA,If you say so
JON SNOW,"Ramsay Bolton cannot be allowed to keep Winterfell, my lady"
"What you have to understand, my lady, is that- - LYANNA",I understand that I’m responsible for Bear Island and all who live here
DAVOS,"If it please, my lady, I understand how you feel"
DAVOS,You needn’t ask your maester about my house
LYANNA,"All right, Ser Davos of House Seaworth"
How is it you understand how I feel? DAVOS,You never thought you’d find yourself in your position
LYANNA,"Go on, Ser Davos"
DAVOS,"Your uncle, Lord Commander Mormont, made that man his steward"
LYANNA,Is this true? JON SNOW nods
JON SNOW,Your uncle fought them at the Fist of the First Men
DAVOS,"As long as the Boltons hold Winterfell, the North is divided"
LYANNA,"House Mormont has kept faith with House Stark for 1,000 years"
JON SNOW,"Thank you, my lady"
LYANNA,62
DAVOS,"If they’re half as ferocious as their lady, the Boltons are doomed"
BRYNDEN,Kingslayer
JAIME,Blackfish
BRYNDEN,I assume you’re here to fulfill the vow you gave my niece
JAIME,I don’t have them
BRYNDEN,Pity
"In the name of King Tommen, I order you to surrender or- - BRYNDEN",Or you’ll kill Edmure? BRYNDEN walks past JAIME
BRYNDEN,My nephew’s marked for death no matter what
JAIME,It won’t stop with Edmure
BRYNDEN,Hundreds of mine
JAIME,We’ll breach them and kill every last one of you
BRYNDEN,Your honor? Bargaining with oathbreakers is like building on quicksand
JAIME,"The war is over, ser"
BRYNDEN,"As long as I’m standing, the war is not over"
JAIME,You clearly have no intention of saving your men’s lives
BRYNDEN,Sieges are dull
JAIME,"Well, now you have"
BRYNDEN,"Aye, now I have"
ROBETT,The answer is no
JON SNOW,"Lord Glover, if you could just hear us out"
ROBETT,I’ve heard enough
JON SNOW,The Boltons are traitors
Who is fighting in this army? JON SNOW,The bulk of the force is made up of wildlings
ROBETT,Then the rumors are true
JON SNOW,Lord Glover
ROBETT,There’s nothing else to say
SANSA,I would remind you that House Glover is pledged to House Stark
ROBETT,"Yes, my family served House Stark for centuries"
ROBETT,And where was King Robb when the Ironborn attacked this castle? When they threw my wife and children in prison and brutalized and killed our subjects? Taking up with a foreign whore
ROBETT,"I served House Stark once, but House Stark is dead"
CUT TO,LONG BRIDGE OF VOLANTIS - BAR Many Ironborn men are communing with prostitutes
THEON,I don’t want one
YARA,"Don’t go far, love"
YARA,I’ll find you in a bit
YARA,Nothing on the Iron Islands has an ass like that
YARA,I’m sorry
THEON,He’ll find us
YARA,It’s a great big world and we have fast ships
THEON,I don’t want any
YARA,I don’t care what you want
YARA,Drink it all
YARA,"You’re Ironborn, Theon"
YARA,Now listen to me
YARA,"You escaped, do you hear me? You got away and you’re never going back"
THEON,"If I got justice, my burnt body would hang over the gates of Winterfell"
YARA,"Fuck justice, then"
YARA,Listen to me
YARA,Are you with me? Are you really with me? THEON slowly raises his head up and locks eyes with YARA
YARA,"Now, since it’s my last night ashore for a long while, I’m gonna go fuck the tits off this one"
DAVOS,Stannis camped here on his way to Winterfell
JON SNOW,We’re not staying here long
DAVOS,"Aye, the snows defeated Stannis as much as the Boltons did"
JON SNOW,We have to march on Winterfell now while we still can
DAVOS,"2,000 Wildlings"
"200 Hornwoods, 143 Mazins- - SANSA",62 Mormonts
DAVOS,It’s not what we’d hoped for
DAVOS,For fuck’s sake
SANSA,"Stannis who lost the Blackwater, who murdered his own brother, who doesn’t have a head? SANSA stops walking"
SANSA,It’s not enough
JON SNOW,There’s no time
SANSA,"If we went down to Castle Cerwyn, I know that Lord- - JON SNOW moves close to SANSA"
JON SNOW,We fight with the army we have
DAVOS,"Friends, this is not worth fighting over! JON SNOW walks past SANSA and away"
DAVOS,"This’ll be it, now"
MAN #2,"Yeah, who the fuck are you? SANSA spies the maester of Bear Island handling some crates containing ravens"
CUT TO,NORTHERN WILDERNESS - STARK ENCAMPMENT TENT SANSA is writing a letter
RAY,I was a soldier once
RAY,That night
RAY,All I could do was stare into that dark sky and listen to that mother screaming her son’s name
RAY,"Now, I know I can never bring that lad back"
RAY,It’s never too late to come back
RAY,And it’s not about waiting for the gods to answer your prayers
RAY,"Seven save you, friends"
You? LEM,Protecting the people
RAY,"Well, we thank you for your protection"
LEM,"Food, then"
RAY,I’m sure it is
LEM,Stay safe
CUT TO,RIVERLANDS - BROTHER RAY’S ENCAMPMENT OUTSKIRTS SANDOR is splitting wood with an ax on a chopping block
SANDOR,"“Seven save you, friends"
” RAY,I’m a fucking septon
What was I supposed to say? SANDOR,They don’t believe in your Seven
RAY,"Aye, well, all are welcome here"
SANDOR,"Sure, you do"
RAY,What do you want to do? Fight them? Kill them? SANDOR shrugs and sighs
RAY,It’d be you against all of them
SANDOR,You do
RAY,I’m done with fighting
SANDOR,"You don’t cure it by dying, either"
