Yoren,Look at me
Yoren,"Keep your mouth shut, boy"
Bran Stark,lt had three eyes
Osha,"Your father's not down there, little lord"
Bran Stark,You're afraid
Osha,l'm not afraid of some hole in the ground
Bran Stark,You've lived beyond the Wall
Bran Stark,"That's my grandfather, Lord Rickard"
Osha,You see? He's not here
Rickon Stark,"Here, Shaggydog"
Bran Stark,What are you doing down here? Come back up with us
Rickon Stark,"No, l came to see Father"
Bran Stark,How many times have l told you? He's in King's Landing with Sansa and Arya
Rickon Stark,He was down here
Osha,You both miss him
"lt's only natural he should be in your thoughts and dreams, but that doesn't mean that – Maester Luwin",Bran… -------------------------------------- Catelyn Stark walks alone through the Stark camp
Several Stark Bannermen,My lady
Catelyn Stark,Robb
Catelyn Stark,My boy
Marillion,"(singing) The boar's great tusks, they boded ill For good King Robert's health And the beast was every bit as fat As Robert was himself But our brave king cried, \"Do your worst! l'll have your ugly head! You're nowhere near as murd'rous as the lion in my bed\" King Robert lost his battle and He failed his final test, The lion ripped his balls off, And the boar did all the rest"
Joffrey Baratheon,Very amusing
Marillion,"l'm so sorry, Your Grace"
Joffrey Baratheon,"Fingers or your tongue? lf you got to keep one, which would it be? Or l could just cut your throat"
Marillion,"Every man needs hands, Your Grace"
Joffrey Baratheon,Good
Marillion,"Your Grace, please"
Marillion,"Your Grace, please"
"l beg you, l will never sing again! (screaming) No! Joffrey Baratheon",l'm done for the day
Marillion,"(screaming) Your Grace, please! As Joffrey leaves with Meryn Trant and the Hound, he passes by Sansa"
Joffrey Baratheon,You look quite nice
Sansa Stark,"Thank you, my lord"
Joffrey Baratheon,Your Grace
Sandor Clegane,"Do as you're bid, child"
Joffrey Baratheon,"And as soon as you've had your blood, l'll put a son in you"
Sansa Stark,You promised to be merciful
Joffrey Baratheon,l was
Sansa Stark,Please let me go home
"l won't do any treason, l swear – Joffrey Baratheon",Mother says l'm still to marry you
Do you want to see the rest? Sansa Stark,lf it please Your Grace
Joffrey Baratheon,That's your Septa there
Sansa Stark,Or maybe he'll give me yours
"(looks defiantly at Joffrey, who cowers) Joffrey Baratheon",My mother tells me a king should never strike his lady
Sandor Clegane,"Here, girl"
(cleans her bloody lip with a rag) Joffrey Baratheon,Will you obey now? Or do you need another lesson? l'll look for you in court
Sandor Clegane,"Save yourself some pain, girl"
Sandor Clegane,You'll be needing that again
Jonos Bracken,The proper course is clear - pledge fealty to King Renly and move south to join our forces with his
Robb Stark,Renly is not the king
Jonos Bracken,"You cannot mean to hold to Joffrey, my lord"
Robb Stark,That doesn't make Renly king
Why should they rule over me and mine from some flowery seat in the South? What do they know of the Wall or the Wolfswood? Even their gods are wrong! Why shouldn't we rule ourselves again? lt was the dragons we bowed to and now the dragons are dead! There sits the only king l mean to bend my knee to - the King in the North! (The Greatjon bows to Robb with his sword unsheathed; Robb rises) Rickard Karstark,l'll have peace on those terms
Theon Greyjoy,"(takes out his sword, bows to Robb) My sword is yours in victory and defeat, from this day until my last day"
All,"(chanting) The King in the North! The King in the North! The King in the North! The King in the North! Catelyn goes to the outskirts of their camp, to the dungeons where prisoners are being kept"
Stark Guard,Lady Stark
Catelyn Stark,l want to see him
Catelyn Stark,Leave us
(the guards leave) Jaime Lannister,"You look lovely tonight, Lady Stark"
Catelyn Stark,"l will kill you tonight, Ser"
Jaime Lannister,Let me show you how
Catelyn Stark,"That is what you want the world to believe, isn't it? That you don't fear death"
Jaime Lannister,"But l don't, my lady"
Why cry about it? Catelyn Stark,"Because you are going to the deepest of the seven hells, if the gods are just"
Jaime Lannister,There are no men like me
Catelyn Stark,My son Bran
How did he come to fall from that tower? Jaime Lannister,l pushed him out the window
Lancel Lannister,l can't believe we're actually at war
"Was it this exciting last time, when you were young? What does it say? Have we captured Robb Stark yet? What's our next move? Cersei Lannister",Stop talking
Tywin Lannister,They have my son
Tyrion Lannister,The Stark boy appears to be less green than we'd hoped
Leo Lefford,l've heard his wolf killed a dozen men and as many horses
Tyrion Lannister,There's your peace
Kevan Lannister,l'm told we still have his sisters
Leo Lefford,The first order of business is ransoming Ser Jaime
Tyrion Lannister,Half wrong
Tywin Lannister,No one will stay here
"And if you get so much as a whiff of treason from any of the rest – Baelish, Varys, Pycelle… Tyrion Lannister","Heads, spikes, walls"
Why not my uncle? Why not anyone? Why me? Tywin Lannister,You're my son
Daenerys Targaryen,My son – where is he? l want him
Where is he? Jorah Mormont,The boy did not live
Daenerys Targaryen,Tell me
Daenerys Targaryen,Where is Khal Drogo? Show him to me
Mirri Maz Duur,"As you command, lady"
Daenerys Targaryen,The khalasar is gone
Jorah Mormont,A khal who cannot ride is no khal
Daenerys Targaryen,Drogo! (in Dothraki) My sun and stars
"(in the Common Tongue, to the rest) Why is he out here alone? Jorah Mormont","He seems to like the warmth, Princess"
Mirri Maz Duur,He lives
Daenerys Targaryen,(looking at Drogo’s catatonic expression) This is not life
When will he be as he was? Mirri Maz Duur,"When the sun rises in the west, sets in the east"
Daenerys Targaryen,Leave us
Jorah Mormont,l don't want you alone with this sorceress
Daenerys Targaryen,l have nothing more to fear from this woman
Daenerys Targaryen,You knew what l was buying and you knew the price
Mirri Maz Duur,lt was wrong of them to burn my temple
Daenerys Targaryen,This is not God's work
Mirri Maz Duur,lnnocent? He would have been The Stallion Who Mounts The World
Daenerys Targaryen,l spoke for you
Mirri Maz Duur,"Saved me? Three of those riders had already raped me before you saved me, girl"
So tell me again exactly what it was that you saved? Daenerys Targaryen,Your life
Mirri Maz Duur,Why don't you take a look at your khal
Samwell Tarly,They'll put out the word
Do you know what happens to deserters? Jon Snow,Better than you do
(gets on horseback) Samwell Tarly,You can't leave us now
Jon Snow,Move
Samwell Tarly,l won't let you go
