CUT TO,EXT
BRONN,I have
JAIME,You should be happy to go back
BRONN,"(Gets up, walking to his knife)"
JAIME,We are not kidnapping their princess
"We are rescuing my niece, bringing her back to the family, BRONN",(Incredulously) Your niece? Jaime and Bronn have a stare-off
BRONN,I've been doing this sort of thing a long time
JAIME,That's why you're here
BRONN,I know
JAIME,Because I don't want to start a war
BRONN,That still doesn't explain why you're doing it
JAIME,It has to be me
BRONN,(Gets up starts walking)
"If I'm putting something of a lit together, a one-handed man, (Grabs some rope and walks back), who happens to be one of the most recognizable faces in Westeros, is not - JAIME",It has to be me
BRONN,(Sheaths his sword)
JAIME,(Quietly) Varys set him free
BRONN,"Well, if you ever see the little fucker, (Lays down), give him my regards"
JAIME,He murdered my father
CUT TO,KING’S LANDING INT
MACE,The Iron Bank has called one tenth of the Crown's debts
CERSEI,You're the Master of Coin
How do we pay them? MACE,"Well, House Tyrell could front the gold, and the the Crown will pay us back in time, or I'll have words with my daughter"
CERSEI,You've already given us too much
MACE,Absolutely
CERSEI,In person
MACE,"(After a moment, looks at her surprised)"
CERSEI,"We must send an envoy to the Iron Bank, someone of importance, to show these bankers our respect"
MACE,"I will be honored, Your Grace"
CERSEI,The King has expressed concern about his father-in-law's safety on this voyage
MACE,(Raises his hands)
PYCELLE,The Small Council grows smaller and smaller
CERSEI,(Walking out)
CERSEI,The old High Septon would have asked the vintage
HIGH SPARROW,I could say that our minds are temples to the Seven and should be kept pure
CERSEI,Hmm
HIGH SPARROW,(After a moment)
How may I serve? CERSEI,All over Westeros we hear about septs being burned
HIGH SPARROW,"Wars teach people to obey the sword, not the Gods"
CERSEI,Perhaps the Gods need a sword of their own
HIGH SPARROW,"Well, the Faith Militant was disarmed more than two centuries ago"
CERSEI,"If I explain the holy purpose to my son, the king, I have no doubt he will sign a decree arming the believers you felt worthy"
HIGH SPARROW,An army that defends the bodies and souls of the common people
CERSEI,An army and service to the Gods themselves
HIGH SPARROW,An honor I never expected
CERSEI,Which is why you were chosen
HIGH SPARROW,All sinners are equal before the Gods
CERSEI,(Smiles
HIGH SPARROW,May the Father judge him justly
MERCHANT,"Help me! Help me! The gold cloaks turn around, ignoring him"
OLYVAR,(Angrily)
MILITANT,Cocksucker! (Man screams)
CLIENT,"Please, please, I'll pay! I'll pay all of you"
MILITANT,(Pulls out a knife)
MILITANT,Seize him
LORAS,Get your hands off of me
LANCEL,"Ser Loras of House Tyrell, you have broken the laws of Gods and men"
MARGAERY,We both know who did
TOMMEN,(Standing up)
Are you saying my mother is behind this? MARGAERY,She's jealous you're not hers anymore
Do you have any affection for me at all? TOMMEN,(Takes her hand)
MARGAERY,I can't bear to think of my brother locked away in some grimy cell
TOMMEN,I'll set him free for you
MARGAERY,Do you promise? INT
Did I arrest him? TOMMEN,"Well, no"
CERSEI,I did
KINGSGUARD,Halt! The party stops
MILITANT,His Holiness is praying
KINGSGUARD,Give the order and we'll tear out this rebel
MAN 4,Abomination! INT
TOMMEN,My Queen? Margaery enters from outside
TOMMEN,There was no way to free Ser Loras without violence
MARGAERY,"You're the King of the Andals, the Lord of the Seven Kingdoms, the Protector of the Realm"
TOMMEN,I'm going to speak to the High Sparrow
MARGAERY,(Walking out)
TOMMEN,Will you come back later? (Margaery stops)
MARGAERY,"I need to be with my family, Your Grace"
TOMMEN,Of course
CUT TO,THE WALL EXT
SELYSE,You think highly of this boy
JON,(To some of the men sparring)
STANNIS,Lord Commander of the Night's Watch
SELYSE,A bastard by some tavern slut
STANNIS,"Perhaps, but that wasn't Ned Stark's way"
SELYSE,I should have given you a son
STANNIS,Not your fault
SELYSE,Whose then? (Looks at their daughter Shireen)
MELISANDRE,(Walking towards them)
SELYSE,My Lady
MELISANDRE,Her father is the Lord's chosen King
MELISANDRE,Once before you put your faith in Ser Davos and left me behind
STANNIS,I won't
MELISANDRE,"You only need faith, my King"
STANNIS,(Walking away)
"And you, my Lady, what do you need? MELISANDRE",To serve my Lord
SAM,Lord Ashford
JON,Never even heard of these people
SAM,They haven't heard of you either
JON,Not him
SAM,"I know, I'm sorry, but we need men and supplies"
JON,He murdered my brother
SAM,We swore to be the Watchers on the Wall
SAM,"Apologies, my Lady"
MELISANDRE,Lord Commander
JON,Castle Black is my home now
MELISANDRE,There's only one war
JON,You're gonna show me some vision in the fire
MELISANDRE,No visions
MELISANDRE,"Do you feel my heart beating? This power in you, you resist it, and that's your mistake"
MELISANDRE,The Lord of Light made us male and female
JON,I don't think Stannis would like that very much
MELISANDRE,Then we shouldn't tell him
JON,I can't
MELISANDRE,The dead don't need lovers
JON,I know
MELISANDRE,"You know nothing, Jon Snow"
STANNIS,My father used to tell me that boredom indicates a lack of inner resources
SHIREEN,(Looks up)
STANNIS,She shouldn't have said that
SHIREEN,"Are you ashamed of me, father? Stannis looks up surprised"
STANNIS,"When you were an infant, (Stands up and walks around his desk), the Dornish trailer landed on Dragonstone"
CUT TO,WINTERFELL INT
BAELISH,I thought I might find you here
SANSA,Father never talked about her
BAELISH,I saw her once
How many tens of thousands had to die because Rhaegar chose your aunt? SANSA,"Yes, he chose her… and then he kidnapped her and raped her"
BAELISH,Come
SANSA,You don't know that
BAELISH,I do
SANSA,I don't know how to do that
BAELISH,Of course you do
SANSA,His father frightens me
BAELISH,"He should, he's a dangerous man"
Do you believe me? SANSA,I expect I'll be a married woman by the time you return
CUT TO,DORNE EXT
BRONN,Breakfast
BRONN,That would have been a shit way to die
JAIME,"As far as I've seen, they're all shit ways to die"
BRONN,Aye
JAIME,I don't care what's sung about me when I'm dead
BRONN,"No? Two knights, off to rescue a princess"
JAIME,Sounds like all the rest
JAIME,How disappointing
BRONN,I've had an exciting life
How do you want to go? JAIME,In the arms of the woman I love
BRONN,I'm not sure you understand how much people hate your family in this part of the world
JAIME,It was a heavy bag
BRONN,And I bet he swore all kinds of oaths to get it
RIDER,"Halt! The rider holds up his hand, and the party stops, having spotted Jaime and Bronn’s footsteps"
BRONN,Fucked in the arse
RIDER,You're from King's Landing
BRONN,Accent gave me away? Flea Bottom
JAIME,I thought the sharks would get us
RIDER,There are no sharks in Dorne
JAIME,I could have sworn those were shark fins
BRONN,Dolphins maybe
RIDER,Throw your swords in the sand
BRONN,"Boys, there's no need for this"
RIDER,Swords in the sand! Now! Bronn and Jaime look at each other
BRONN,That one should be slow enough
BRONN,Nice move! (Jaime turns to him)
JAIME,Luck
BRONN,You had a wonderful teacher
BRONN,Always wanted a Dornish stallion
JAIME,First we need to bury these bodies
BRONN,Birds have to eat too
JAIME,"Corpses raise questions, questions raise armies"
TYENE,Nama! Tyene and Elaria embrace
ELARIA,"Nym, Obara"
OBARA,Without Doran we have no army to march against the Lannisters
ELARIA,We don't need an army to start a war
NYMERIA,We may have a problem
OBARA,"A ship's captain, who found me in Planky Town, claiming he had information to sell"
ELARIA,He's come for Myrcella
TYENE,(Walks towards her)
ELARIA,Nym? (Nymeria nods)
Obara? OBARA,"When I was a child, (Begins walking), Oberyn came to take me to court"
OBARA,(Smiles)
CUT TO,EXT
TYRION,Thank you
Who are you? JORAH,Your captor
TYRION,I can't sleep without wine
JORAH,Then stay awake
TYRION,You're going the wrong way
JORAH,I'm not taking you to your sister
TYRION,You said you were taking me to the Queen
JORAH,I am
TYRION,(Chuckles)
CUT TO,YUNKAI EXT
DAENERYS,Everyone looks happy enough from up here
What? BARRISTAN,"I was thinking of all the times your brother made me go with him down from the Red Keep, into the streets of King's Landing"
Viserys never told you? DAENERYS,He told me Rhaegar was good at killing people
BARRISTAN,Rhaegar never liked killing
DARIO,(Entering)
DAENERYS,I think I can protect me from Hizdahr Zo Loraq
BARRISTAN,Your Grace
AUDIENCE CHAMBER HIZDAHR,All men must die
DAENERYS,I do not recognize this tradition
HIZDAHR,"Traditions are the only thing that will hold this city, your city, together"
WOMAN,(Speaking another language) Sons of the Harpy
