CUT TO,"CASTLE BLACK - DAVOS’ CHAMBER DAVOS hears GHOST’s howling and exits, then peers across the courtyard and sees JON SNOW’s body"
NIGHT’S WATCHMAN,It’s the Lord Commander! DOLOROUS EDD and other Night’s Watchmen rush up behind DAVOS
DAVOS,Help me get him inside
CUT TO,CASTLE BLACK - ROOM DOLOROUS EDD wipes the table clean
DOLOROUS EDD,Thorne did this
DAVOS,Does the wolf know you? DOLOROUS EDD looks at DAVOS over his shoulder and nods
DAVOS,We need all the help we can get
),Ser Davos
MELISANDRE,"I saw him in the flames, fighting at Winterfell"
DAVOS,"I can’t speak for the flames, but he’s gone"
CUT TO,CASTLE BLACK - MESS HALL ALLISER THORNE sits at the high table among the other leaders of the Night’s Watch
ALLISER THORNE,You all know why you’re here
ALLISER THORNE,And Bowen Marsh and Othell Yarwyck and the other officers in this castle
ALLISER THORNE,You’re right! The shouting stops
ALLISER THORNE,"We’ve committed treason, all of us"
CUT TO,CASTLE BLACK - ROOM GHOST nudges JON SNOW’s hand and whimpers
DAVOS,He’ll have seen we didn’t come
DOLOROUS EDD,I don’t care who’s sitting at the high table
DAVOS,We don’t have the numbers
DOLOROUS EDD,We have a direwolf
DAVOS,It’s not enough
DOLOROUS EDD,"If you were planning to see tomorrow, you picked the wrong room"
DAVOS,"We need to fight, but we don’t need to die"
DOLOROUS EDD,Bolt the door
),She was 11 the first time I saw her
CUT TO,WINTERFELL - ROOM MYRANDA’s body lies on a table
RAMSAY,The kennelmaster’s daughter
RAMSAY,"Myranda wasn’t, though"
RAMSAY,Your pain will be paid for a thousand times over
RAMSAY,This is good meat
CUT TO,WINTERFELL - HALLWAY RAMSAY is walking with ROOSE
ROOSE,Your command of the cavalry was impressive
Do you know who struck the killing blow? RAMSAY,No
ROOSE,A shame
ROOSE,I rebelled against the crown to arrange your marriage to Sansa Stark
"Do you think that burning wagons in the night and mowing down tired, outnumbered Baratheons is the same as facing a prepared and provisioned Lannister army? RAMSAY",No
ROOSE,A reckoning will come
RAMSAY,I have a team of men after them with some of my best hounds
ROOSE,I’m glad to hear it
ROOSE,
THEON,We can’t stop
THEON,We have to cross here
SANSA,I can’t
THEON,It’s the only way to throw off the hounds
SANSA,But it’s too cold
THEON,I’ve seen what his hounds do to a person
CUT TO,NORTHERN WILDERNESS - WOODS THEON and SANSA are walking together
THEON,Over here
THEON,Sansa
THEON,Stay here
SANSA,"No, I won’t make it without you"
THEON,You will
BOLTON OFFICER,Liar
THEON,She broke her leg jumping from the ramparts
BOLTON OFFICER,I can’t wait to see what parts Ramsay cuts off you this time
BOLTON OFFICER,It’s a bloody woman
BRIENNE,"Lady Sansa, I offer my services once again"
SANSA,And I vow
that you shall always have a place by my hearth and… PODRICK,Meat and mead at my table
SANSA,Meat and mead at my table
CUT TO,RED KEEP - CERSEI’S CHAMBER CERSEI is sitting in the dark by a table
HANDMAIDEN,"Your Grace, I’m sorry to disturb you"
CUT TO,"RED KEEP - CERSEI’S CHAMBER JAIME is standing on the balcony, looking out"
CERSEI,All I could think about when she died was what would happen to her now
CERSEI,I think about locking Myrcella in a crypt
CERSEI,I think about her beautiful little face starting to collapse
JAIME,"Shh, shh"
CERSEI,I have to
JAIME,She’s not suffering
CERSEI (crying),She was good
JAIME,I know
CERSEI,"I thought if I could make something so good, so pure"
JAIME,Listen -- listen to me
CERSEI,"No, I knew this would happen"
JAIME,You don’t believe that
CERSEI,Of course I do
JAIME,Fuck prophecy
JAIME,We’re going to take everything there is
SEPTA UNELLA,“The Seven Hells brim with the souls of saintly men
” MARGAERY,I’d like to see my brother
SEPTA UNELLA,Confess
MARGAERY,Please
SEPTA UNELLA,Confess
MARGAERY,I am the queen and I demand to see my brother
SEPTA UNELLA,Sinners don’t make commands
HIGH SPARROW,Septa Unella
HIGH SPARROW,Our other guests need you
HIGH SPARROW (whispering),There
HIGH SPARROW,Septa Unella can be overzealous at times
MARGAERY,"My brother, can you tell me how he is? HIGH SPARROW sits on a stool beside MARGAERY"
HIGH SPARROW,It isn’t Ser Loras that brings me here
MARGAERY,I have nothing to confess
HIGH SPARROW,You have started down the path
DORAN,I always envied Oberyn
ELLARIA,And men
DORAN,And men
DORAN,Oberyn was born to be an adventurer
ELLARIA,The gods are not fools
DORAN,"The Princess Myrcella… TYENE produces a dagger from her boot and stabs AREO in the back, killing him"
ELLARIA,When was the last time you left this palace? You don’t know your own people
DORAN,My son Trystane… ELLARIA scoffs
ELLARIA,Your son is weak just like you
CUT TO,SUNSPEAR - TRYSTANE’S CHAMBER TRYSTANE is painting an eye on a stone
TRYSTANE,I told you I’m not hungry
OBARA,We’re not here to feed you
OBARA,We’re here to kill you
NYMERIA,Her or me? TRYSTANE draws his blade and points it at NYMERIA
NYMERIA,Good
OBARA,Smart boy
NYMERIA,"You’re a greedy bitch, you know that? OBARA and NYMERIA exit"
TYRION,We’re never going to fix what’s wrong with this city from the top of an 800-foot pyramid
TYRION,We’ll be fine
VARYS,You walk like a rich person
TYRION,It’s a good thing you’re not a boy anymore
TYRION (speaking Valyrian),For your baby
VARYS (to TYRION),She thinks you want to eat her baby
VARYS (speaking Valyrian),His Valyrian is terrible
VARYS,Mhysa means mother in Valyrian
TYRION,I know what mhysa means
LISTENERS (speaking Valyrian),For the night is dark and full of terrors
RED PRIEST,"The Lord of Light sent the Mother of Dragons to you, and those who love the darkness chased her away"
TYRION,Many of the former slaves feel that Daenerys has abandoned them
VARYS,She did fly away on a dragon and not come back
TYRION,Fear has brought Meereen to a standstill
VARYS,"The Sons of the Harpy planned their attack in the fighting pits very carefully, which means they take orders from someone"
TYRION,"Well, we won’t be sailing to Westeros anytime soon"
DAARIO,"We’re on the right path, then"
DAARIO,Perhaps she’s tired of being queen
JORAH,She’s too smart to like it
DAARIO,"Maybe she’s flown somewhere else, somewhere far away from men like us"
JORAH,I’ve been all over the world
DAARIO,"There’s no escaping her, eh? You keep coming back"
Why? JORAH,You know why
DAARIO,You’re a romantic
” JORAH,If you grow old
DAARIO,If I grow old
JORAH,So do I
DAARIO,Dothraki? JORAH looks down and sees something in the grass
JORAH,They have her
BLOODRIDER #1,Maybe she saw a ghost
BLOODRIDER #2,Pink people are afraid of the sun
BLOODRIDER #1 (to DAENERYS),I’ll ask Khal Moro for a night with you
What do you think? BLOODRIDER #2,"Pretty eyes, but she’s an idiot"
BLOODRIDER #1,She doesn’t have to be smart to get fucked in the ass
BLOODRIDER #2,I like to talk when I’m finished
CUT TO,ESSOS ARID LANDS - DOTHRAKI SETTLEMENT The Dothraki folk are tending to their affairs
BLOODRIDER #2,"For you, my Khal"
BLOODRIDER #3,"Look at those lips, blood of my blood"
WIFE #1,Blue-eyed women are witches
WIFE #2,It is known
WIFE#1,"Cut off her head, before she casts a spell on you"
KHAL MORO,"Even if I was blind, I’d hear my wives say, “Cut off her head” and I’d know this woman was beautiful"
BLOODRIDER #4,"Conquering a city and taking her people as slaves, and taking her idols back to Vaes Dothrak"
BLOODRIDER #3,"Breaking a wild horse, forcing it to submit to your will"
KHAL MORO (annoyed),Seeing a beautiful woman naked for the first time is among the five best things in life
DAENERYS (speaking Dothraki),Do not touch me
DAENERYS,"I am Daenerys Stormborn of the House Targaryen, the First of Her Name, the Unburnt, Queen of Meereen, Queen of the Andals and the Rhoynar of the First Men, Khaleesi of the Great Grass Sea, Breaker of Chains and Mother of Dragons"
He places his hand on the back of DAENERYS’ head KHAL MORO,"You are nobody, the millionth of your name, Queen of Nothing, slave of Khal Moro"
Do you understand? DAENERYS,I will not lie with you
WIFE #1,I told you she was a witch
KHAL MORO,I like her
DAENERYS,"I was wife of Khal Drogo, son of Khal Bharbo"
KHAL MORO,Khal Drogo is dead
DAENERYS,I know
KHAL MORO,Forgive me
DAENERYS,"If you will escort me back to Meereen, I will see that your khalasar is given a thousand horses, as a sign of my gratitude"
KHAL MORO,"When a Khal dies, there is only one place for his Khaleesi"
WIFE #1,Vaes Dothrak
WIFE #2,To live out her days with the widows of dead Khals
ARYA,Thank you
WAIF,"Are you listening, blind girl? Do you hear them talking? Do any of them talk to you? No"
WAIF,"Stand and fight, blind girl"
ARYA,I can’t see
WAIF,"That’s your problem, not mine"
WAIF,See you tomorrow
ALLISER THORNE,"Ser Davos, we have no cause to fight"
DAVOS,"Hear that, lads? Nothing to fear"
ALLISER THORNE,I will grant amnesty to all brothers who thrown down their arms before nightfall
DAVOS,And some mutton
ALLISER THORNE,We’ll give you food
DAVOS,"Thank you, Ser Alliser"
DAVOS,"Boys, I’ve been running from men like that ll my life"
"In my learned opinion, we open that door -- NIGHT’S WATCHMAN #1",And they’ll slaughter us all
NIGHT’S WATCHMAN #2,"They want to come in, they’re gonna come in"
DAVOS,"Aye, but we don’t need to make it easy for them"
NIGHT’S WATCHMAN #2,Edd is our only chance
NIGHT’S WATCHMAN #1,It’s a sad fucking statement if Dolorous Edd is our only chance
DAVOS,There’s always the Red Woman
CUT TO,CASTLE BLACK - MELISANDRE’S CHAMBER MELISANDRE is sitting at the edge of her bed by a fire
From HBO,"At Castle Black, Thorne defends his treason while Edd and Davos defend themselves"
