Syrio Forel,"Yah! Left high, left low"
Syrio Forel,"Right low, lunge right"
Steward of House Stark,"If you break anything, the Septa will have my head"
Septa Mordane,Your sister knew perfectly well we were to leave today
Sansa Stark,She didn't forget
Septa Mordane,Hush! Go back to your room
Syrio Forel,"This way! Left, right"
Arya Stark,"You said right, but you went left"
Syrio Forel,And now you are a dead girl
Arya Stark,Only 'cause you lied
Syrio Forel,My tongue lied
Arya Stark,I was so
Syrio Forel,"Watching is not seeing, dead girl"
Meryn Trant,"Arya Stark, come with us"
Syrio Forel,And why is it that Lord Eddard is sending Lannister men in place of his own? I am wondering
Meryn Trant,"Mind your place, dancing master"
Arya Stark,My father wouldn't send you
Arya Stark,And I don't have to go with you if I don't want
Maryn Trant,Take her
Syrio Forel,I am Syrio Forel
Kings guard,Foreign bastard
Syrio Forel,And you will be speaking to me with more respect
Meryn Trant,Kill the Braavosi
Syrio Forel,"Arya child, we are done with dancing for the day"
Meryn Trant,Bloody oafs
Syrio Forel,"Be gone now, Arya"
Arya Stark,Come with me
Syrio Forel,The first sword of Braavos does not run
Syrio Forel,Go
Arya Stark,Not today
Sansa Stark,Stay away from me
Sandor Clegane,"Who do you think sent me? Back to Arya, we see that she has arrived at the slaughtered stewards"
Arya Stark,Needle
Stable Boy,There she is
Arya Stark,Leave me be
Lord Varys,"Lord Stark, you must be thirsty"
Ned Stark,Varys
Lord Varys,I promise you it isn't poisoned
Ned Stark,You watched my men being slaughtered and did nothing
Lord Varys,"And would again, My Lord"
When you look at me do you see a hero? What madness led you to tell the Queen you had learned the truth about Joffrey's birth? Ned Stark,The madness of mercy
Lord Varys,"Ah, the children"
"I trust you know you are a dead man, Lord Eddard? Ned Stark",The Queen can't kill me
Lord Varys,The wrong brother sadly
Ned Stark,"If that's true, then slit my throat and be done with it"
Lord Varys,"Not today, My Lord"
Ned Stark,"Tell me something, Varys"
Who do you truly serve? Lord Varys,"The Realm, My Lord"
Jeor Mormont,"It's Othor, without a doubt"
Othell Yarwyck,"The other one is Jafer Flowers, My Lord, less the hand the wolf tore off"
Jeor Mormont,Mmm
Samwell Tarly,The smell
"If they'd be dead for a long time, wouldn't there be rot? Jon Snow",We should burn them
Othell Yarwyck,"Snow's not wrong, My Lord"
Jeor Mormont,I want Maester Aemon to examine them first
Othell Yarwyck,You heard him
Ser Alliser,"Lord Commander, Maester Aemon awaits you in his chambers"
Nights Watch brother,"Come on, move 'em out"
Jeor Mormont,"Bring me a horn of ale, Snow, and pour one for yourself"
Jeor Mormont,I hope you're not thinking of doing anything stupid
Jon Snow,My sisters were in King's Landing too
Jeor Mormont,I'm sure they'll be treated gently
Lord Varys,"Your father has proved to be an awful traitor, dear"
Grand Maester Pycelle,King Robert's body was still warm when Lord Eddard began plotting to steal Joffrey's rightful throne
Sansa Stark,He wouldn't do that
Cersei Lannister,"Sansa sweetling, you are innocent of any wrong"
How can I allow you to marry my son? Grand Maester Pycelle,A child born of a traitor's seed is no fit consort for our King
"She is a sweet thing now, Your Grace, but in 10 years who knows what treasons she may hatch? Sansa Stark","No, I'm not"
Petyr Baelish,"The girl is innocent, Your Grace"
Cersei Lannister,"Little dove, you must write to Lady Catelyn and your brother, the eldest"
What's his name? Sansa Stark,Robb
Cersei Lannister,"Word of your father's arrest will reach him soon, no doubt"
Sansa Stark,If
Cersei Lannister,"You disappoint me, child"
Why would you want to speak to a traitor? Sansa Stark,I only meant that
what will happen to him? Cersei Lannister,That depends
Sansa Stark,On
on what? Cersei Lannister,On your brother
Robb Stark,I won't refuse
Maester Luwin,Yeah
Theon Greyjoy,Good
Catelyn Stark,A courtesy?! My husband has been taken prisoner
Lysa Arryn,A war? Your son against the Lannisters? You should go to him
Robin Arryn,I'm hungry
Lysa Arryn,"Hush now, darling"
Catelyn Stark,That is what I ask
Lysa Arryn,"Go on, sweet"
Catelyn Stark,If you fear for the safety of your son
Lysa Arryn,Of course I fear for the safety of my son! Are you an idiot? They killed my husband
Catelyn Stark,And that is why we have to stop them
Lysa Arryn,"The knights of the Vale will stay in the Vale where they belong, to protect their Lord"
Bronn,Will you shut up? There's hill tribes all around here
Tyrion Lannister,"If I'm going to die, it may as well be with a song in my heart"
Bronn,I should just take your food and leave you here
Eh? What would you do then? Tyrion Lannister,"Starve, most likely"
Bronn,Fair enough
Tyrion Lannister,Though I would treasure your friendship
Remember this,"Whatever their price, I'll beat it"
Bronn,Tyrion
Tyrion Lannister,"Come, share our fire"
Shagga,"When you meet your Gods, you tell them Shagga Son of Dolf of the Stone Crows sent you"
Tyrion Lannister,I am Tyrion son of Tywin of Clan Lannister
"How would you like to die, Tyrion son of Tywin? Tyrion Lannister","In my own bed, at the age of 80 with a bellyful of wine and a girl's mouth around my cock"
Tyrion Lannister,"No no no no no! My, my House is rich and powerful"
Shagga,We have no use for a half man's promises
Tyrion Lannister,"Half a man maybe, but at least I have the courage to face my enemies"
Ser Alliser,Now there's a rare sight
Jeor Mormont,I told you not to do anything stupid
Jon Snow,"Ghost, what's wrong? Is something out there? Jon decides to get out of bed, gear up and opens the door"
Jon Snow,"Hello? Who's there? Lord Commander? As soon as he walks through the door, the door shuts and the corpse of Othor attacks Jon"
Jon Snow,"Move move! Jon grabs Jeor by his arm and flees inside a room, shutting the door"
Daenarys Stormborn,I thought the Dothraki didn't believe in money
Jorah Mormont,"Gold to hire ships, Princess"
Daenarys Stormborn,"Jorah, make them stop"
Jorah Mormont,These men have shed blood for their Khal
Rakharo,"She is a lamb girl, Khaleesi"
Jorah Mormont,"Princess, you have a gentle heart, but this is how it's always been"
Daenarys Stormborn,"I do not have a gentle heart, Ser"
Rhakharo,Kash qoy qoyi thira disse
Jorah Mormont,Come
Jorah Mormont,"You cannot claim them all, Princess"
Daenarys Stormborn,"I can, and I will"
Khal Drogo,Moon of my life
Daenarys Stormborn,"Mago speaks the truth, my sun and stars"
Khal Drogo,This is the way of war
Daenarys Stormborn,It pleases me to keep them safe
Mago,You are a foreigner
Daenarys Stormborn,I am Khaleesi
Khal Drogo,"See how fierce she grows? That is my son inside her, the stallion that will mount the world"
Mago,A Khal who takes orders from a foreign whore is no Khal
Khal Drogo,Ohosa
Khal Drogo,The beetles will feed on your eyes
Khal Drogo,The rain will fall on your rotting skin
Khal Drogo,"Until nothing is left of you but bones! Khal Drogo runs towards Mago, while dodging his attacks"
mago,"First you have to kill me! Khal drogo grabs Mago's sword, disarms him and cuts his throat open"
Daenarys Stormborn,My sun and stars is wounded
Khal Drogo,"A scratch, moon of my life"
Mirri Maz Duur,I can help the great rider with his cut
Qotho,The Khal needs no help from slaves who lie with sheep
Daenarys Stormborn,She is mine let her speak
Mirri Maz Duur,"Thank you, silver lady"
Daenarys Stormborn,"Who are you? When \"the witch\" is trying to approach Dany, Qotho stops her"
Mirri Maz Duur,I am named Mirri Maz Duur
Qotho,A witch
Mirri Maz Duur,My mother was Godswife here before me
Qotho,Too many words
Mirri Maz Duur,"lamb or lion, his wound must be washed and sewn or it will fester"
Daenarys Stormborn,"Let her clean your wound, my sun and stars"
Greatjon Umber,"For 30 years I've been making corpses out of men, boy"
Robb Stark,Galbart Glover will lead the Van
Greatjon Umber,The bloody Wall will melt before an Umber marches behind a Glover
Robb Stark,"You are welcome to do so, Lord Umber"
Robb Stark,My Lord father taught me it was death to bare steel against your Liege Lord
Greatjon Umber,Your meat
Brann Stark,But it's the middle of the night
Robb Stark,The Lannisters have spies everywhere
Brann Stark,They have more men than we do
Robb Stark,"Aye, they do"
Brann Stark,Can't I come with you? I can ride now
Robb Stark,There must always be a Stark at Winterfell
Brann Stark,I will
Robb Stark,"I'll send letters whenever I can, but if you don't hear from me, don't be scared"
Brann Stark,"How long have you been hiding out there? Robb will be looking for you, to say goodbye"
Rickon Stark,They've all gone away
Brann Stark,They'll be back soon
Rickon Stark,"No, they won't"
Brann Stark,Please watch over Robb
Osha,"You hear them, boy? The Old Gods are answering you"
Brann Stark,You're not a slave
Brann Stark,"Well, your friend did put a knife to my throat"
Brann Stark,It's only the wind
Osha,"Well, there's a big man"
Brann Stark,"Go back and find your clothes, Hodor"
Hodor,Hodor
Samwell Tarly,They were touched by White Walkers
Pypar,"And when they wake up, what? Sam looks to the top of the Wall"
Samwell Tarly,I hope The Wall is high enough
Rodrik Cassel,"Summer snows, My Lady"
Catelyn Stark,Robb's brought the North with him
Robb Stark,The River Lords are falling back with Jaime Lannister at their heels
Greatjon Umber,"One army or two, the Kings in the North threw back hosts ten times this large"
Greatjon Umber,"Lady Catelyn, you're a welcome sight in these troubled times"
Theon Greyjoy,"We had not thought to meet you here, My Lady"
Catelyn Stark,I had not thought to be here
Greatjon Umber,"You heard her! Move your asses! Come on, out"
Rodrik Cassel,Jon
Greatjon Umber,"You're not wasting away, are you? As soon as the men left, Catelyn hugs Robb"
Catelyn Stark,I remember the day you came into this world red-faced and squalling
Robb Stark,There was no one else
Catelyn Stark,All of them are seasoned in battle
Robb Stark,If you think you can send me back to Winterfell
Catelyn Stark,"Oh, would that I could"
Robb Stark,There was a letter
Catelyn Stark,"From the Queen, you mean"
Robb Stark,No
Catelyn Stark,you would never be allowed to leave
Catelyn Stark,On the orders of Tywin Lannister
Robb Stark,"Well, that makes it simple then"
Catelyn Stark,I suppose it does
Tyrion Lannister,From here it might be best if Bronn and I continue alone
Shagga,Best for Tyrion son of Tywin
Tyrion Lannister,"And feed it to the goats, yes"
Tyrion Lannister,Uncle
Tywin Lannister,The rumors of your demise were unfounded
Tyrion Lannister,Sorry to disappoint you
Bronn,You wouldn't know him
Tyrion Lannister,"May I present My Lord Father, Tywin son of Tytos of House Lannister"
Tywin Lannister,You left us no choice
Tyrion Lannister,"We have our differences, Jaime and I"
Jamie Lannister,He's been covering himself in glory
Kevan Lannister,"Jaime smashed the River Lords at the Golden Tooth, and now lays siege to Riverrun, Catelyn Stark's homeland"
Tyrion Lannister,"My sister rules, you mean"
Kevan Lannister,Stark's son has called his banners
Tywin Lannister,A green boy
Tyrion Lannister,Maybe
Messenger,"If it please My Lord, Ser Addam bids me report that the Northmen have crossed the neck"
Tywin Lannister,The wolf rushes into the lion's jaws
Kevan Lannister,"At once, My Lord"
Tywin Lannister,It is said that the men of the Mountain clans are great warriors
Shagga,Only if the half man fights with us
Rodrik Cassal,The scouts report Lord Tywin moves north
Greatjon Umber,"No, we need to get around him and break Jaime Lannister's siege of Riverrun"
Robb Stark,To do either we need to cross the river and the only crossing is at The Twins
Theon Greyjoy,Lord Frey controls that bridge
Catelyn Stark,"\"The late Lord Frey\" my father calls him"
Theon Greyjoy,Robb's right
Theon covers the map with pawns Greatjon Umber,"Don't worry, lad"
Robb Stark,"My father understands mercy, when there is room for it"
Catelyn Stark,Robb
Robb Stark,"Tell Lord Tywin, Winter is coming for him"
Lannister scout,"Yes, My Lord"
Robb Stark,Go on
Greatjon Umber,Oi
Grand Maester Pycelle,"It is also the wish of His Grace, that his loyal servant Janos Slynt, Commander of the City Watch"
Sansa Stark,Ser Aron
Grand Maester Pycelle,Be at once raised to the rank of Lord
Sansa Stark,Lord Gyles
Grand Maester Pycelle,"And granted the ancient seat of Harrenhal, and that his sons and grandsons shall hold this honor after him, until the end of time"
Cersei Lannister,Ser Barristan Selmy
Barristan Selmy,"Your Grace, I am yours to command"
Cersei Lannister,"Rise, Ser Barristan"
Barristan Selmy,"Your Grace, the Kingsguard is a sworn brotherhood"
Barristan Selmy,Your Grace
Cersei Lannister,The Council has determined that Ser Jaime Lannister will take your place as Lord Commander of the Kingsguard
Lord Varys,"We have nothing but gratitude for your long service, good Ser"
Barristan Selmy,A hall to die in and men to bury me
Petyr Baelish,"A naked Knight, apparently"
Barristan Selmy,"Even now I could cut through the five of you like carving a cake! Here, boy! Melt it down and add it to the others"
King's Landing Page,"If any man in this hall has other matters to set before His Grace, let him speak now or go forth and hold his silence"
Sansa Stark,Your Grace
