BRONN,Seems to me the smart place to meet travelers is in a tavern
OLYVAR,"Very good, my lady"
MAN,And so he spoke and so he spoke That Lord of Castamere ♪ - And now the rains
Gambling? CROWD,Mhysa
- JAIME,Go away
OFFICER,Draw
JON,"Last time I saw him, he was in the courtyard at Winterfell"
So you admit you murdered Qhorin Halfhand? JON,I didn't murder him
SLYNT,The free folk? Listen to him
OLENNA,No
DAENERYS,"Have you ever been to Meereen? Several times, Your Grace, with Master Kraznys"
BARRISTAN,I'll tell our men to ride ahead and bury them
BRIENNE,There she is
JAIME,"Yes, there she is"
(FLIES BUZZING) ARYA,When am I going to get a horse of my own? The little lady wants a pony
ARYA,I'm hungry
HOUND,Got what? My sword Needle
- (MAN LAUGHING) - MAN,"Come on, give it up"
