CUT TO,RED KEEP - TOMMEN’S CHAMBER TOMMEN is being dressed by an attendant
CUT TO,RED KEEP - MARGAERY’S CHAMBER MARGAERY is being dressed by a handmaiden
CUT TO,"GREAT SEPT OF BAELOR - PRAYER ROOM The HIGH SPARROW dresses himself in a roughspun tunic, sliding his hands through the sleeves one by one"
CUT TO,RED KEEP - TOMMEN’S CHAMBER The attendant places a large golden necklace around TOMMEN’s neck
CUT TO,RED KEEP - MARGAERY’S CHAMBER The handmaiden finishes tying MARGAERY’s dress and fixes her hair
CUT TO,RED KEEP - TOMMEN’S CHAMBER The attendant places TOMMEN’s crown on top of his head
CUT TO,GREAT SEPT OF BAELOR A pair of Faith Militant men open the main door to the Sept
CUT TO,"GREAT SEPT OF BAELOR - LORAS’ CELL LORAS sits in the back of his cell, muttering to himself"
CUT TO,GREAT SEPT OF BAELOR The HIGH SPARROW and six other septons enter
CUT TO,"RED KEEP - TOMMEN’s CHAMBER TOMMEN is sitting in a chair in the center of the room, looking out the window"
ATTENDANT,Your Grace
CUT TO,RED KEEP - CERSEI’S CHAMBER A handmaiden connects a golden chain between two golden shoulder fastenings on CERSEI’s dress
CUT TO,RED KEEP - TOMMEN’S CHAMBER TOMMEN says nothing
CUT TO,RED KEEP - CERSEI’S CHAMBER The handmaiden places a ring on CERSEI’s middle finger
CUT TO,RED KEEP - MAESTER PYCELLE’S CHAMBER PYCELLE is standing in front of a bureau
GIRL,Grand Maester
CUT TO,GREAT SEPT OF BAELOR LANCEL and a group of Faith Militant usher LORAS into the sept and down the steps
HIGH SPARROW,Ser Loras Tyrell
Are you prepared to stand trial and profess your guilt or innocence before the Seven? LORAS,There’ll be no need for a trial
LORAS,I perjured myself before the gods
HIGH SPARROW,"The gods’ judgment is fierce, but also fair"
LORAS,I take full responsibility for my many sins and unburden myself of my desires
HIGH SPARROW,Brother Loras… LORAS begins to cry
HIGH SPARROW,
MACE,"No, I can’t let them… MARGAERY blocks her father with her arm"
MARGAERY,"Faith is the way, Father"
CUT TO,RED KEEP - CERSEI’S CHAMBER The handmaiden finishes dressing CERSEI and steps away from her
CUT TO,RED KEEP - TOMMEN’S CHAMBER Someone approaches TOMMEN
TOMMEN,All right
TOMMEN,"I have to go, I’m-- I’m late for the trial"
CUT TO,RED KEEP - CERSEI’S CHAMBER The handmaiden exits
CUT TO,GREAT SEPT OF BAELOR The Faith Militant has finished carving LORAS’s forehead
MARGAERY,You mutilated him
HIGH SPARROW,I’ve kept my word
HIGH SPARROW,It appears the queen mother doesn’t wish to attend her own trial
CUT TO,RED KEEP - CERSEI’S CHAMBER CERSEI pours herself a glass of wine
CUT TO,RED KEEP - CERSEI’S CHAMBER CERSEI walks to the balcony with her glass of wine
CUT TO,GREAT SEPT OF BAELOR - STEPS LANCEL emerges onto the steps with the Faith Militant
LANCEL,Get the others
CUT TO,RED KEEP - QYBURN’S LAB The young girl opens the door and leads PYCELLE inside
CUT TO,GREAT SEPT OF BAELOR - STEPS LANCEL runs to the door the boy entered and then goes inside
CUT TO,"RED KEEP - QYBURN’S LAB PYCELLE walks down the steps and into the lab, then turns around to see QYBURN sitting in a chair behind him"
PYCELLE,Where’s the king? QYBURN stands
QYBURN,"Elsewhere, I’m afraid"
CUT TO,GREAT SEPT OF BAELOR - TUNNELS LANCEL continues to follow the boy through the tunnels
CUT TO,RED KEEP - QYBURN’S LAB More children brandishing knives appear
CUT TO,GREAT SEPT OF BAELOR - TUNNELS LANCEL runs down the tunnel after the boy
CUT TO,GREAT SEPT OF BAELOR - TUNNELS LANCEL turns a corner and finds a smaller tunnel
CUT TO,RED KEEP - QYBURN’S LAB The children converge on PYCELLE
CUT TO,GREAT SEPT OF BAELOR - TUNNELS LANCEL happens upon the boy’s torch and raises it up
LANCEL,"The longer you wait, the worse it’ll be for you"
LANCEL,What are you doing? The boy runs away
CUT TO,GREAT SEPT OF BAELOR The crowd is murmuring
CUT TO,GREAT SEPT OF BAELOR - TUNNELS LANCEL looks down the tunnel and sees a glimmer of light
CUT TO,"RED KEEP - CERSEI’S CHAMBER CERSEI is standing at the balcony, staring out at the Great Sept of Baelor"
CUT TO,GREAT SEPT OF BAELOR MARGAERY looks around
CUT TO,GREAT SEPT OF BAELOR - TUNNELS LANCEL crawls closer to the other end of the hall
CUT TO,GREAT SEPT OF BAELOR MARGAERY hurries over to the HIGH SPARROW
MARGAERY,There’s something wrong
HIGH SPARROW,"You have nothing to fear, Your Grace"
MARGAERY,Cersei is not here
Why do you think they are not here? HIGH SPARROW,"If the accused is not here, she will be tried regardless"
We cannot escape the justice of the gods-- MARGAERY,Forget about the bloody gods and listen to what I’m telling you
CUT TO,GREAT SEPT OF BAELOR - TUNNELS LANCEL has almost reached the end of the tunnel
MARGAERY,Loras
CUT TO,GREAT SEPT OF BAELOR - TUNNELS LANCEL groans as he pulls himself closer to the candles
CUT TO,GREAT SEPT OF BAELOR MARGAERY hurries towards the exit with LORAS
MARGAERY,Let me through
CUT TO,GREAT SEPT OF BAELOR MARGAERY looks over her shoulder at the HIGH SPARROW
CUT TO,GREAT SEPT OF BAELOR - TUNNELS The flame from the candle touches the pool of green liquid and ignites it
CUT TO,GREAT SEPT OF BAELOR The sound of an explosion can be heard
CUT TO,RED KEEP - CERSEI’S CHAMBER CERSEI watches the explosion
CUT TO,RED KEEP - TOMMEN’S CHAMBER GREGOR is standing in the hallway
CUT TO,RED KEEP - UNKNOWN CHAMBER SEPTA UNELLA is lying strapped to a table
CERSEI,Confess
SEPTA UNELLA,No
CERSEI,Confess
CERSEI,Confess
CERSEI,You’ve always been quiet
CERSEI,I said my face would be the last thing you saw before you died
Do you remember? SEPTA UNELLA,Good
CERSEI,What? Now? Today? You’re not going to die today
CERSEI,This is Ser Gregor Clegane
CERSEI,Your gods have forsaken you
SEPTA UNELLA,No
CERSEI,Shame
CERSEI,Shame
CERSEI,Shame
CUT TO,RED KEEP - TOMMEN’S CHAMBER TOMMEN is staring out the window
ATTENDANT,"I’m very sorry, Your Grace"
WALDER,"May we stand together through the centuries, good friends to the last"
WALDER,"And when we drive our swords through our enemies’ hearts, may we speak the words of our alliance, “The Freys and the Lannisters send their regards"
BRONN,"You don’t even have to do anything, do you? JAIME looks at the handmaiden"
BRONN,"You just sit there, a rich slab of beef, and all the birds come pecking"
JAIME,You’re welcome to her
BRONN,She doesn’t want me
JAIME,Those two have their eyes on you
BRONN,"They have their eyes on you, cunt"
JAIME,Not my type
JAIME,There you go
BRONN,Maybe I’m not in the mood
BRONN,Fuck it
BRONN,No need to call me ser just because I’m an anointed knight
WALDER,This came together rather well
JAIME,I’m sure he would be
WALDER,Edmure is back in a cell
WALDER,"So the famous Blackfish killed by footsoldiers, eh? Legendary warrior, everyone said"
JAIME,"No, but back in your day"
WALDER,"The purpose of fighting is defeating your enemies, isn’t it? JAIME nods"
WALDER,I’ve defeated mine
JAIME,"Yes, you’re a great conqueror"
WALDER,"Go on, mock me, boy"
JAIME,"They don’t fear the Freys, though"
CERSEI,Show me
CUT TO,THE CITADEL SAM and GILLY enter and walk to the front desk
SAM,Hello
SAM,From Lord Commander Snow at Castle Black
SAM,I’m-- I’m to be the new maester
MAESTER,Oh
MAESTER,"According to our records, Jeor Mormont is Lord Commander"
SAM,He died
MAESTER,We received no report from the maester at Castle Black
SAM,Maester Aemon became quite ill shortly after the election
MAESTER,This is irregular
SAM,"Yes, well, I suppose that life is irregular"
MAESTER,The archmaester will discuss these irregularities with you
MAESTER,No women or children! The maester turns and walks away
CUT TO,"WINTERFELL - DINING HALL JON SNOW is standing behind the high table, staring across the hall"
JON SNOW,"When we had feasts, our family would sit up here… and I’d sit down there"
MELISANDRE,"Could have been worse, Jon Snow"
JON SNOW,"Aye, you’re right"
MELISANDRE,The Princess Shireen
DAVOS,Tell him what you did to her
Tell him! MELISANDRE,We burned her at the stake
DAVOS,I loved that girl like she was my own
And you killed her! MELISANDRE,So did her father
DAVOS,The only way for what? They all died anyway! You told everyone Stannis was the one
MELISANDRE,I didn’t lie
DAVOS,"Aye, you were wrong"
DAVOS (to JON SNOW),I ask your leave to execute this woman for murder
JON SNOW,Ride south today
DAVOS,"If you ever come back this way, I will execute you myself"
CUT TO,WINTERFELL - OUTER WALL JON SNOW stands atop the outer wall watching MELISANDRE ride south on her horse
JON SNOW,I’m having the lord’s chamber prepared for you
SANSA,Mother and Father’s room? You should take it
JON SNOW,I’m not a Stark
SANSA,You are to me
JON SNOW,You’re the Lady of Winterfell
SANSA,He did
JON SNOW,We need to trust each other
SANSA,Jon
SANSA,A raven came from the Citadel
JON SNOW,"Well, Father always promised, didn’t he? JON SNOW exits"
OLENNA,"The last time a Tyrell came to Dorne, he was assassinated"
