SANSA,Yes? A man of the Night’s Watch enters
MAN,"For you, my lady"
LITTLEFINGER,Sansa
SANSA,"To come to my aid? Did you know about Ramsay? If you didn’t know, you’re an idiot"
SANSA,Would you like to hear about our wedding night? He never hurt my face
LITTLEFINGER,He beat you
SANSA,"Yes, he enjoyed that"
LITTLEFINGER,I didn’t know
SANSA,I thought you knew everyone’s secrets
LITTLEFINGER,"I made a mistake, a horrible mistake"
SANSA,"The other things he did, ladies aren’t supposed to talk about those things, but I imagine brothel keepers talk about them all the time"
LITTLEFINGER,I’m so sorry
SANSA,You said you would protect me
LITTLEFINGER,And I will
SANSA,I don’t believe you anymore
And why shouldn’t I? LITTLEFINGER,"Do you want me to beg for my life? If that’s what you want, I will"
SANSA,You freed me from the monsters who murdered my family and you gave me to other monsters who murdered my family
LITTLEFINGER,I would do anything to undo what’s been done to you
SANSA,I have an army
LITTLEFINGER,Your brother’s army
LITTLEFINGER,Half-brother
WAIF,You’re not ready
WAIF,"You’ll never be one of us, Lady Stark"
JAQEN,She has a point
JAQEN,None of the first Faceless Men were born to lords and ladies
ARYA,A girl has no desires
ARYA,Who? ARYA takes the bottle
JAQEN,An actress who calls herself Lady Crane
CUT TO,BRAAVOS - SHEELBA SQUARE Actors are performing a play
IZEMBARO,Ahh! ARYA laughs along with the crowd
IZEMBARO,"Oh, murdered by a boar"
CLARENZO,"Oh, come, Father, in bed you must lie"
IZEMBARO,"Shut up, you swine! Cersei, more wine"
LADYC RANE,I feel the winds of winter as they lick across the land
Who will teach him strength? Who will teach him grace? To whom will he turn when it’s time to learn to look darkness in the face? IZEMBARO,Ned stark will do fine
CAMELLO,We men of the North are right good hands at keeping people lawful
CAMELLO,"I’d ask him for permission, but he smells too bloody awful"
IZEMBARO,I die! I die! And here I now must lie
LADY CRANE,You cannot
CAMELLO,I can
LADY CRANE,You will not
CAMELLO,I will
LADY CRANE,You dare not
CAMELLO,I dare yes
LADY CRANE,The line of succession
CAMELLO,What’s that mean? The crowd laughs
CAMELLO,"So move along, give me my chair and there won’t be no more trouble"
CAMELLO,But we had a deal all done and dusted
CAMELLO,I’m starting to think you can’t be trusted
BIANCA,Save my father
LADY CRANE,Truly you should
BIANCA,"Save him, please"
LADY CRANE,Show him mercy
CLARENZO,"Good people, you may all relax"
BIANCA,"Father! No! Oh, father"
BOBONO,Worry not! All is well
BOBONO,You’ll learn that what I lack in height I make up for in appetite
BOBONO,"So let’s forget about your plight, and go rehearse our wedding night"
CUT TO,"BACKSTAGE All the actors from the play are gathered together, taking a break and attending to their costumes"
CLARENZO,It’s a wart
CAMELLO,"Well, don’t worry, love"
CAMELLO,"Oh, wash this, darling"
IZEMBARO (to BIANCA),"You can do better, Bianca, dear"
BIANCA,I had two lines
IZEMBARO,There are no small parts
BIANCA (to IZEMBARO),You weren’t complaining about me last night
BOBONO,Of course we’re going to be intimate
LADY CRANE,It’s only a matter of time
LADY CRANE,To our children
BOBONO,May they have your talent
LADY CRANE,And your filthy mind
CUT TO,HOUSE OF BLACK AND WHITE - WASHING ROOM JAQEN is washing a body
ARYA,A girl will poison the rum
ARYA,She’s a good actress
JAQEN,So a man has heard
ARYA,Seems like a decent woman
Who wants her dead? JAQEN,That does not matter
ARYA,The younger actress
JAQEN,A girl must decide if she wants to serve the Many-Faced God
ARYA,A girl has decided
JAQEN,A servant does not ask questions
CUT TO,VISION OF THE PAST - UNKNOWN LAND BRAN and the THREE-EYED RAVEN are walking together
MAN,No! No! No! LEAF slowly drives the shard into the man’s heart until it disappears inside his chest
CUT TO,GREAT WEIRWOOD TREE - CAVE LEAF is watching BRAN
BRAN,It was you
LEAF,We were at war
AERON,We speak in the presence of the Drowned God
YARA,"I am Yara Greyjoy, daughter of Balon Greyjoy, King of the Iron Islands"
MAN #1,We’ve never had a queen
YARA,There are many things we’ve never done
THEON,I am Theon Greyjoy
THEON,And she is your rightful ruler
EURON,I’m Euron Greyjoy
EURON,I claim the Salt Throne
EURON,Niece
EURON,Nephew
EURON,Heard you managed to fuck things right into the ground
EURON,Explains why you think a woman can be king
YARA,I’m glad you’re here
EURON,I did
THEON,That would have been hard to do
EURON,Gallivanting? That the sort of thing you start to say once your dick gets chopped off? The Ironborn laugh
EURON,"Right idea, except I’m the one who’s going to build the Iron Fleet because I’m the one who knows how to use it"
CUT TO,PYKE - BEACH Several Ironborn carrying flags stand on the shore
AERON,"May Euron, your servant, be born again from the sea as you were"
AERSON,Listen to the waves
AERON,Let the fish eat the scales off his eyes
AERON,"What is dead may never die, but rises again harder and stronger"
AERON,What is dead may never die
ALL,What is dead may never die
EURON,Where are my niece and nephew? Let’s go murder them
AERON,They stole our best ships
EURON,Won’t be enough to save them
